"Kod";"Nazwa";"Okresy";"Wskaźnik cen";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2005";100,3;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2006";100,0;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2007";100,7;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2008";101,5;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2009";101,2;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2010";100,9;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2011";102,1;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2012";101,7;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2013";100,2;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2014";100,2;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2015";99,5;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2016";99,3;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2017";101,1;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2018";100,4;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2019";100,2;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2020";102,0;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2021";102,1;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2022";103,8;"-";"";
0000000;"POLSKA";"1 kwartał";"ogółem - okres poprzedni = 100";"2023";104,3;"-";"";
