"Kod";"Nazwa";"Kierunki migracji";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2005";-12878;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2006";-36134;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2007";-20485;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2008";-14865;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2009";-1196;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2010";-2114;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2011";-4334;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2012";-6617;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2013";-19904;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2014";-15750;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"z";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2016";1505;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2017";1436;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2018";3612;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2019";6183;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2020";4483;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2021";3404;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2022";1939;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2023";6766;"osoba";"";
0000000;"POLSKA";"saldo migracji ogółem";"ogółem";"2024";9301;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2005";-1849;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2006";-3626;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2007";-1570;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2008";-1160;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2009";907;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2010";1385;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2011";1071;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2012";940;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2013";27;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2014";556;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
0200000;"DOLNOŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2016";2809;"osoba";"";
