"Kod";"Nazwa";"Okresy";"Sekcje wg PKD 2007";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"ogółem";"2005";2417,16;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2006";2534,03;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2007";2736,00;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2008";3057,92;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2009";3246,24;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2010";3338,85;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2011";3481,34;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2012";3664,16;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2013";3740,79;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2014";3896,97;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2015";4053,71;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2016";4201,91;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2017";4390,54;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2018";4700,11;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2019";5015,03;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2020";5367,68;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2021";5675,54;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2022";6338,46;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2023";7178,40;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2024";8077,01;"zł";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"2025";8736,49;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2005";2458,96;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2006";2576,66;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2007";2806,94;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2008";3158,61;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2009";3273,12;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2010";3402,19;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2011";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2012";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2013";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2014";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2015";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2016";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2017";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2018";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2019";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2020";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2021";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2022";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2023";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2024";;"zł";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"2025";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2005";2485,21;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2006";2619,94;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2007";2890,63;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2008";3189,58;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2009";3311,65;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2010";3381,93;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2011";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2012";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2013";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2014";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2015";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2016";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2017";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2018";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2019";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2020";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2021";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2022";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2023";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2024";;"zł";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"2025";;"zł";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"2005";2648,28;"zł";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"2006";2798,21;"zł";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"2007";3087,99;"zł";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"2008";3307,37;"zł";"";
