Rok;Okres;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy
2006;3;3 008;2 663;3 494;4 467;3 523;2 835;6 816;3 022;2 860;2 640;3 299;3 621;2 656;3 234;5 605;3 211;2 499;3 591;2 663;4 231
2006;4;3 117;2 811;5 252;5 284;3 735;3 014;7 089;3 304;3 642;2 869;3 343;4 726;3 013;3 575;6 186;3 777;2 769;5 369;3 220;4 923
2007;1;3 500;3 017;5 490;5 797;3 806;3 241;7 192;3 309;4 209;2 960;;6 445;3 469;3 831;7 302;7 063;2 500;6 499;3 276;6 121
2007;2;4 422;4 092;7 137;6 992;5 094;3 018;7 856;3 503;5 403;3 318;3 307;7 243;3 517;4 933;7 523;5 289;3 258;6 785;3 923;6 610
2007;3;4 651;4 466;7 440;7 238;5 698;4 766;8 060;4 125;5 212;3 588;4 253;5 426;4 124;5 121;7 879;5 836;4 015;7 065;4 647;6 605
2007;4;5 079;4 582;6 294;7 495;5 718;4 629;7 985;4 597;5 076;3 806;4 442;6 865;4 365;4 697;8 571;5 625;3 823;8 064;4 819;6 754
2008;1;5 160;4 540;6 473;7 301;5 791;4 408;8 000;4 861;5 103;4 389;4 253;7 598;4 163;5 362;8 535;5 268;4 108;7 539;4 783;6 937
2008;2;4 973;4 982;7 740;7 209;5 113;4 880;8 027;4 531;5 041;4 324;3 917;7 070;4 177;5 448;8 611;5 349;3 842;6 725;4 832;6 666
2008;3;5 141;4 670;7 042;6 694;5 154;4 918;7 814;5 073;5 214;4 524;3 916;6 854;3 947;5 455;8 325;5 891;3 892;7 383;4 903;6 879
2008;4;5 177;4 749;6 193;6 384;5 772;4 609;7 518;5 217;5 542;4 353;3 765;6 768;4 401;5 663;8 149;5 513;3 771;7 023;5 007;6 396
2009;1;5 005;5 023;5 309;6 241;4 995;4 822;7 373;4 746;4 746;4 419;3 776;6 365;3 965;5 174;7 543;5 218;3 646;6 626;4 812;6 114
2009;2;4 976;4 835;5 907;5 891;5 411;4 716;7 169;4 693;5 101;4 485;3 471;6 284;3 849;4 958;7 461;5 095;3 366;6 522;4 705;6 002
2009;3;4 787;4 757;5 804;5 504;4 524;4 678;6 866;4 437;4 755;4 297;3 669;6 146;3 969;5 406;7 585;5 105;3 500;6 502;4 579;5 901
2009;4;4 838;4 694;5 476;5 774;4 866;4 778;6 981;4 830;5 275;4 494;3 492;6 130;3 843;5 057;7 680;5 472;3 459;6 629;4 586;6 048
2010;1;4 790;4 524;5 839;5 495;5 303;4 798;6 985;4 495;5 020;4 877;3 627;6 436;3 837;4 916;8 173;5 628;3 511;6 842;4 635;6 103
2010;2;4 802;4 856;5 678;5 278;4 511;4 829;6 920;4 535;4 846;4 602;4 125;6 632;4 039;4 751;7 974;5 938;3 538;6 785;4 609;6 123
2010;3;4 732;4 954;5 272;5 461;5 071;4 523;6 834;4 821;4 936;5 025;4 054;6 304;4 191;4 840;7 940;5 614;3 563;6 684;4 755;5 985
2010;4;4 755;4 606;5 216;5 617;4 914;4 803;6 789;4 819;4 905;5 010;3 817;6 591;4 572;4 794;7 441;5 735;3 663;6 564;4 738;6 076
2011;1;4 821;4 730;5 692;6 004;5 329;4 790;6 886;4 896;5 066;4 955;4 759;6 264;4 264;4 855;8 037;5 905;3 651;6 869;4 839;6 220
2011;2;4 782;4 635;5 661;6 205;4 417;4 967;7 082;4 827;5 123;4 963;4 776;6 536;4 202;4 819;7 527;5 949;3 671;6 789;4 640;6 380
2011;3;4 843;4 575;5 479;6 430;4 697;4 804;6 958;5 133;4 907;4 896;4 726;6 155;4 178;5 048;7 423;6 098;3 679;6 686;4 759;6 276
2011;4;4 601;4 626;5 506;6 313;4 604;4 768;6 711;4 644;4 793;4 703;4 676;6 219;4 239;4 847;7 226;5 720;3 747;6 487;4 590;6 072
2012;1;4 577;4 520;5 594;6 106;4 679;4 663;6 637;4 935;4 610;4 663;4 645;5 932;4 138;4 735;6 967;5 606;3 750;6 208;4 601;5 805
2012;2;4 384;4 686;5 604;6 604;4 443;4 944;6 616;4 906;4 668;4 452;4 557;5 880;4 135;4 762;7 043;5 808;3 602;6 299;4 574;5 884
2012;3;4 507;4 502;5 555;6 439;5 004;5 161;6 711;4 864;4 473;4 480;4 428;5 978;4 496;4 759;6 757;5 521;3 673;6 104;4 679;5 739
2012;4;4 357;4 615;5 336;6 002;5 685;4 516;6 417;4 699;4 536;4 556;4 203;5 339;4 407;4 567;6 466;5 593;3 691;5 931;4 636;5 631
2013;1;4 610;4 855;5 292;5 732;5 104;4 647;5 926;4 679;4 629;4 395;4 428;6 147;4 467;4 547;6 990;5 430;3 655;6 031;4 604;5 482
2013;2;4 428;4 815;5 682;6 083;5 232;4 646;6 299;4 943;4 531;4 478;4 526;5 998;4 383;4 581;7 018;5 603;3 623;6 166;4 649;5 682
2013;3;4 526;4 896;5 794;6 646;4 670;4 718;5 895;4 770;4 388;4 560;4 617;5 913;4 680;4 444;7 173;5 605;3 606;6 227;4 608;5 679
2013;4;4 493;4 528;6 155;6 003;4 529;4 651;5 782;4 796;4 423;4 511;4 638;5 868;4 821;4 742;7 427;5 693;3 625;6 314;4 588;5 664
2014;1;4 501;4 601;5 501;6 072;4 532;4 587;6 000;4 643;4 433;4 493;4 370;6 146;4 515;4 732;7 298;5 668;3 620;6 196;4 546;5 599
2014;2;4 488;4 808;5 977;5 648;4 974;4 623;6 172;4 917;4 533;4 461;4 390;6 116;4 828;4 699;7 316;5 860;3 688;6 252;4 682;5 685
2014;3;4 431;4 797;5 805;6 037;5 015;4 578;5 970;4 843;4 661;4 690;4 609;6 022;4 649;4 745;7 446;5 921;3 736;6 317;4 686;5 700
2014;4;4 570;4 618;5 785;5 877;4 907;4 602;5 722;4 967;4 656;4 736;4 651;6 225;4 709;4 841;7 315;5 793;3 750;6 213;4 709;5 605
2015;1;4 526;4 619;5 951;5 778;4 795;4 736;5 861;4 920;4 578;4 724;4 727;6 307;4 857;4 779;7 396;5 988;3 647;6 307;4 694;5 694
2015;2;4 606;4 720;5 749;6 162;4 898;4 507;5 896;4 980;4 687;4 807;4 427;6 209;4 990;4 822;7 510;6 068;3 743;6 352;4 717;5 707
2015;3;4 613;4 745;6 089;6 710;5 003;4 549;6 312;5 017;4 676;4 617;4 429;6 228;4 596;4 696;7 557;6 044;3 749;6 486;4 699;5 893
2015;4;4 519;4 819;6 031;6 334;5 049;4 620;6 357;4 913;4 697;4 764;4 366;6 234;4 868;4 609;7 462;6 109;3 785;6 458;4 708;5 886
2016;1;4 594;4 831;6 452;6 209;5 030;4 710;6 239;4 995;4 738;4 737;4 369;6 246;4 806;4 670;7 639;5 993;3 777;6 523;4 738;5 889
2016;2;4 615;4 834;6 185;6 391;4 868;4 685;6 343;5 035;4 646;4 729;4 350;6 298;4 852;4 832;7 583;6 218;3 781;6 520;4 748;5 917
2016;3;4 596;4 954;6 283;6 631;5 173;4 581;6 298;4 976;4 727;4 935;4 432;6 195;5 019;4 793;7 696;6 162;3 836;6 578;4 817;5 951
2016;4;4 505;4 852;6 481;6 975;5 038;4 559;6 451;5 212;4 850;4 991;4 686;6 304;5 036;4 823;7 686;6 163;3 858;6 662;4 825;6 075
2017;1;4 612;4 971;6 430;6 710;5 114;4 614;6 373;5 095;4 792;4 899;4 529;6 263;4 801;4 694;7 562;6 136;3 851;6 576;4 803;6 027
